Name,Phone,Url
Al Jannat Biryani,"Shop# 1, Sheikh Plaza, Main Bazar, Saddar Nowshera, Khyber Pakhtunkhwa","
0303 5337606",,(6)
"Qasim Chapli Kabab, Rashakai","bazar near Rashakai, Nowshera Mardan Rd, Rashakai, Nowshera, Khyber Pakhtunkhwa 23200","
0300 9040237","
rashakai.com","(1,586)"
PESHAWRI ICE CREAM,"2X6J+XC4, Mohalla Meetha Khel, Nowshera, Khyber Pakhtunkhwa",,,(1)
Chapli Kabab Sop,"2X4P+2M6, Cavalary Rd, Saddar Jan, Nowshera, Khyber Pakhtunkhwa",,,(39)
Bannu Beef Polao & Pinda Restaurant,"Hakim Abad, Dehri Kati Khel, Nowshera, Khyber Pakhtunkhwa","
0332 9001436",,(13)
alnasseb biryani center,"2X2Q+9CX, sadar bazar cantt, Nowshera, Khyber Pakhtunkhwa","
0301 5587188",,(3)
Taj Restaurant & Platter House,"opposite Ronaq Shadi Hall, Hakimabad, Hakim Abad, Nowshera, Khyber Pakhtunkhwa","
0335 1212504",,(1)
Chill Out Franchise Fast Food Restaurant,"X4XM+FJM, Akora Khattak, Nowshera, Khyber Pakhtunkhwa","
0317 9606161",,(167)
Namkeen ROSH HOTEL / TEA HOTEL,"2X8R+PF5, Mardan Road, Shah Mir Garhi, Nowshera, Khyber Pakhtunkhwa",,,(6)
Amanat tikka,"2X3Q+X7M, Moti Bazar Rd, Saddar Nowshera, Khyber Pakhtunkhwa","
0334 8462186",,(2)
SAVOUR FOOD,"225V+9Q4, Hakim Abad, Nowshera, Khyber Pakhtunkhwa","
0341 7001234","
facebook.com",(1)
Cheese venture,"XXGJ+5XH, Armour Colony, Nowshera, Khyber Pakhtunkhwa","
0334 6222083",,(18)
Kuwrak Mahal,"2X3P+JVF, Cavalary Rd, Saddar Nowshera, Khyber Pakhtunkhwa",,,(14)
Chaskae Tikka,"2V5W+GH4, Station Nowshera, Khyber Pakhtunkhwa","
0345 9283806",,(11)
Baba karayana And Fast Food shop,"X2V5+GJ6, Unnamed Road, ASC Housing Society, Nowshera, Khyber Pakhtunkhwa","
0318 9002259",,(2)
Disney Water And Restaurant,"227R+M3W Malik Abad, Hakimabad, Hakim Abad, Nowshera, Khyber Pakhtunkhwa","
0317 1992831",,(2)
Farhad Cafe,"Risalpur, Nowshera, Khyber Pakhtunkhwa","
(0923) 631266",,(146)
Dewan e Khaas Pirpiai Nowshera,"2V3X+P49, Pir Piai Rd, Nowshera, Khyber Pakhtunkhwa","
0321 9305758","
deewanekhaas.my.canva.site",(28)
Nowshera Platter House,"2357+GR5, Nowshera, Khyber Pakhtunkhwa",,,(3)
Malangi tikka,"2X3P+WMQ, Bus Adda Bus Station, Cavalary Road،, By Pass Rd, Saddar Akramabad, Nowshera, Khyber Pakhtunkhwa","
0335 5463419",,(4)
Food Stories,"2X4C+44V, Khat Kalay, Nowshera, Khyber Pakhtunkhwa","
0333 5857727",,(2)
Healthy Snacks Food,"Shop # 1, 2 Armour Colony no 2، Hakeemabad، Nowshera Cantt, 24100","
0310 2869931",,(30)
BunCheese,"2X4C+63G, Khat Kalay, Nowshera, Khyber Pakhtunkhwa","
0300 9196724",,(1)
K&F Foods shwaRma & Burgers,"Badrashi, Nowshera, Khyber Pakhtunkhwa 24100","
0311 0080807",,(12)
De foodie,"Pir Piai Bus Station, Grand Trunk Rd, Nowshera","
0314 9697451","
facebook.com",(21)
Dawat Restaurant And Marriage Hall,"Near Grand Trunk Rd, Hakimabad, Nowshera, Khyber Pakhtunkhwa",,,(28)
Salahuddin Fish Shop,"2X6H+FV3, Mardan Road, Mohalla Meetha Khel, Nowshera, Khyber Pakhtunkhwa","
0345 9303198",,(8)
SARTAJ FISH CENTER,"Akram Abad, Khat Kalay, Nowshera, Khyber Pakhtunkhwa","
0300 5778169",,(13)
Deewan Restaurant,"Opposite Sugar Mill, Nowshera Mardan Rd, Mardan, Khyber Pakhtunkhwa 23200","
0315 0844855",,(706)
Baba Tariq Chany wala,"2X6Q+52M pani wali tanki, Nowshera Bridge, Mohalla Meetha Khel, Nowshera, Khyber Pakhtunkhwa",,,(1)
Munchies Cafe,"3X6W+PQR, Risalpur, Nowshera, Khyber Pakhtunkhwa","
0324 9045093",,(39)
Al Irfan hotel & Restaurant,"2V5R+VPG, Main Peshawar Rd, Nowshera, Khyber Pakhtunkhwa","
0333 5929826",,(1)
Chacha Dairy wala,"2X2V+2QG, Nowshera Cantonment, Nowshera, Khyber Pakhtunkhwa",,,(1)
Uzbak pulao Nowshera Cantt.,"2X2Q+5GQ, Saddar Nowshera, Khyber Pakhtunkhwa","
0336 9645375",,(2)
Madeena Hotel,"2W6Q+6J2, Ashoorabad Nowshera, Khyber Pakhtunkhwa","
0345 9892804",,(2)
Zaib Chicken Shop,"2X7C+GQG, Tanki Rd, Mohalla Meetha Khel, Nowshera, Khyber Pakhtunkhwa","
0300 9165669",,(24)
A One Tikka House,"22GV+59R, Pīr Sabaq, Nowshera, Khyber Pakhtunkhwa","
0316 1836150",,(1)
Best Restaurants in Kp,"2X6Q+52M, TKR Kernal sher khan interchange Swabu River View Restaurant Ring Road Nowshehra Dampukh, Nowshera Mardan Rd, Mardan, 23200","
0315 3168801",,(1)
Al- Naseeb Beryani,"2X8R+F7W, Mardan Road, Shah Mir Garhi, Nowshera, Khyber Pakhtunkhwa",,,(2)
Enjoy Restaurent,"XX2C+HX3, Manki Sharif Rd, Nowshera, Khyber Pakhtunkhwa",,,(5)
Quetta Pashin Cafe,"2X3P+RPG, Cavalary Rd, Saddar Nowshera, Khyber Pakhtunkhwa","
0340 8057095",,(1)
